113407.94, 5350.1426288, N, 1738.7771510, E, Depth: 2.01, X: -151.855, Y: -79.351
113407.99, 5350.1425772, N, 1738.7771132, E, Depth: 2.01, X: -151.951, Y: -79.392
113408.04, 5350.1425250, N, 1738.7770754, E, Depth: 2.01, X: -152.048, Y: -79.434
113408.09, 5350.1424728, N, 1738.7770376, E, Depth: 2.01, X: -152.144, Y: -79.475
113408.14, 5350.1424206, N, 1738.7769968, E, Depth: 2.02, X: -152.241, Y: -79.52
113408.19, 5350.1423690, N, 1738.7769572, E, Depth: 2.02, X: -152.337, Y: -79.564
113408.24, 5350.1423168, N, 1738.7769170, E, Depth: 2.02, X: -152.434, Y: -79.607
113408.29, 5350.1422646, N, 1738.7768774, E, Depth: 2.02, X: -152.53, Y: -79.651
113408.34, 5350.1422130, N, 1738.7768390, E, Depth: 2.0, X: -152.626, Y: -79.693
113408.39, 5350.1421614, N, 1738.7768000, E, Depth: 2.0, X: -152.722, Y: -79.736
113408.44, 5350.1421098, N, 1738.7767610, E, Depth: 2.0, X: -152.818, Y: -79.778
113408.49, 5350.1420582, N, 1738.7767226, E, Depth: 2.0, X: -152.914, Y: -79.821
113408.54, 5350.1420054, N, 1738.7766842, E, Depth: 2.0, X: -153.011, Y: -79.863
113408.59, 5350.1419538, N, 1738.7766464, E, Depth: 2.0, X: -153.107, Y: -79.904
113408.64, 5350.1419016, N, 1738.7766080, E, Depth: 2.0, X: -153.204, Y: -79.946
113408.69, 5350.1418488, N, 1738.7765702, E, Depth: 2.0, X: -153.301, Y: -79.988
113408.74, 5350.1417972, N, 1738.7765318, E, Depth: 2.01, X: -153.397, Y: -80.03
113408.79, 5350.1417456, N, 1738.7764940, E, Depth: 2.01, X: -153.494, Y: -80.072
113408.84, 5350.1416934, N, 1738.7764562, E, Depth: 2.01, X: -153.59, Y: -80.113
113408.89, 5350.1416412, N, 1738.7764178, E, Depth: 2.01, X: -153.687, Y: -80.155
113408.94, 5350.1415896, N, 1738.7763794, E, Depth: 2.01, X: -153.782, Y: -80.197
113408.99, 5350.1415380, N, 1738.7763416, E, Depth: 2.01, X: -153.878, Y: -80.239
113409.04, 5350.1414864, N, 1738.7763032, E, Depth: 2.01, X: -153.974, Y: -80.281
113409.09, 5350.1414348, N, 1738.7762654, E, Depth: 2.01, X: -154.07, Y: -80.323
113409.14, 5350.1413826, N, 1738.7762252, E, Depth: 2.02, X: -154.167, Y: -80.366
113409.19, 5350.1413304, N, 1738.7761862, E, Depth: 2.02, X: -154.263, Y: -80.409
113409.24, 5350.1412788, N, 1738.7761472, E, Depth: 2.02, X: -154.359, Y: -80.452
113409.29, 5350.1412266, N, 1738.7761076, E, Depth: 2.02, X: -154.456, Y: -80.496
113409.34, 5350.1411744, N, 1738.7760680, E, Depth: 2.03, X: -154.552, Y: -80.539
113409.39, 5350.1411228, N, 1738.7760284, E, Depth: 2.03, X: -154.649, Y: -80.582
113409.44, 5350.1410706, N, 1738.7759894, E, Depth: 2.03, X: -154.745, Y: -80.626
113409.49, 5350.1410184, N, 1738.7759498, E, Depth: 2.03, X: -154.842, Y: -80.669
113409.54, 5350.1409662, N, 1738.7759102, E, Depth: 2.03, X: -154.939, Y: -80.712
113409.59, 5350.1409140, N, 1738.7758712, E, Depth: 2.03, X: -155.035, Y: -80.755
113409.64, 5350.1408624, N, 1738.7758316, E, Depth: 2.03, X: -155.132, Y: -80.798
113409.69, 5350.1408102, N, 1738.7757926, E, Depth: 2.03, X: -155.229, Y: -80.841
113409.74, 5350.1407586, N, 1738.7757518, E, Depth: 2.04, X: -155.324, Y: -80.886
113409.79, 5350.1407070, N, 1738.7757122, E, Depth: 2.04, X: -155.42, Y: -80.93
113409.84, 5350.1406548, N, 1738.7756720, E, Depth: 2.04, X: -155.516, Y: -80.974
113409.89, 5350.1406032, N, 1738.7756318, E, Depth: 2.04, X: -155.612, Y: -81.017
113409.94, 5350.1405510, N, 1738.7755952, E, Depth: 2.05, X: -155.709, Y: -81.058
113409.99, 5350.1404988, N, 1738.7755568, E, Depth: 2.05, X: -155.806, Y: -81.1
113410.04, 5350.1404472, N, 1738.7755190, E, Depth: 2.05, X: -155.902, Y: -81.141
113410.09, 5350.1403950, N, 1738.7754812, E, Depth: 2.05, X: -155.999, Y: -81.183
113410.14, 5350.1403434, N, 1738.7754422, E, Depth: 2.05, X: -156.095, Y: -81.226
