103951.00, 5350.11502, N, 01738.87462, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103951.20, 5350.11501, N, 01738.87461, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103951.40, 5350.11501, N, 01738.87462, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103951.60, 5350.11501, N, 01738.87463, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103951.80, 5350.11500, N, 01738.87463, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103952.00, 5350.11499, N, 01738.87463, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103952.20, 5350.11499, N, 01738.87464, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103952.40, 5350.11499, N, 01738.87464, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103952.60, 5350.11498, N, 01738.87464, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103952.80, 5350.11497, N, 01738.87464, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103953.00, 5350.11498, N, 01738.87465, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103953.20, 5350.11497, N, 01738.87465, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103953.40, 5350.11496, N, 01738.87466, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103953.60, 5350.11496, N, 01738.87466, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103953.80, 5350.11496, N, 01738.87466, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103954.00, 5350.11495, N, 01738.87467, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103954.20, 5350.11494, N, 01738.87467, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103954.40, 5350.11494, N, 01738.87467, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103954.60, 5350.11494, N, 01738.87468, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103954.80, 5350.11493, N, 01738.87469, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103955.00, 5350.11492, N, 01738.87469, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103955.20, 5350.11492, N, 01738.87470, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103955.40, 5350.11492, N, 01738.87470, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103955.60, 5350.11491, N, 01738.87471, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103955.80, 5350.11490, N, 01738.87471, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103956.00, 5350.11490, N, 01738.87472, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103956.20, 5350.11489, N, 01738.87472, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103956.40, 5350.11488, N, 01738.87473, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103956.60, 5350.11488, N, 01738.87473, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103956.80, 5350.11488, N, 01738.87474, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103957.00, 5350.11487, N, 01738.87475, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103957.20, 5350.11486, N, 01738.87476, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103957.40, 5350.11485, N, 01738.87476, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103957.60, 5350.11485, N, 01738.87477, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103957.80, 5350.11483, N, 01738.87478, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103958.00, 5350.11483, N, 01738.87479, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103958.20, 5350.11482, N, 01738.87480, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103958.40, 5350.11482, N, 01738.87481, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103958.60, 5350.11481, N, 01738.87481, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
103958.80, 5350.11481, N, 01738.87482, E, Satellites: 12, lon_err: ('0.29',), lat_err: ('0.19',), alt_err: 0.46, Acc_X: 907,Acc_Y: -18, Acc_Z: 12, Mag_X: 43, Mag_Y: 5183, Mag_Z: -878
