102100.60, 5350.15611, N, 01738.90317, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102100.80, 5350.15612, N, 01738.90318, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102101.00, 5350.15612, N, 01738.90317, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102101.20, 5350.15612, N, 01738.90317, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102101.40, 5350.15612, N, 01738.90318, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102101.60, 5350.15613, N, 01738.90318, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102101.80, 5350.15612, N, 01738.90318, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102102.00, 5350.15612, N, 01738.90317, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102102.20, 5350.15613, N, 01738.90318, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102102.40, 5350.15613, N, 01738.90318, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102102.60, 5350.15613, N, 01738.90317, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102102.80, 5350.15613, N, 01738.90316, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102103.00, 5350.15614, N, 01738.90317, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.27',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102103.20, 5350.15614, N, 01738.90316, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102103.40, 5350.15615, N, 01738.90316, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102103.60, 5350.15615, N, 01738.90316, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102103.80, 5350.15616, N, 01738.90316, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
102104.00, 5350.15616, N, 01738.90315, E, Satellites: 12, lon_err: ('0.40',), lat_err: ('0.26',), alt_err: 0.66, Acc_X: 962,Acc_Y: -34, Acc_Z: 50, Mag_X: -698, Mag_Y: 2283, Mag_Z: -1488
